"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Singapore","SG",2023,1032,723,263,64,21,10,6,,2018,2113,101,2119,1032,64,0,1112,,220,1,0,0,,,10,61,,176,185,185,224,456,1297,0,1,1,1,,,9,23,,220,179,109,91,181,812,0,4,60,2022,,,,2104,2022,15,14,0,0,0,0,0,,1,2,1,7,0,,1,6,14,900,40,14,1,,,900,40,44,2,14,1,11,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1553,20,,,,,,10,3,98,,,0,98,6,6,0,,,,,,,,,0,,,
"Sint Maarten (Dutch part)","SX",2023,3,,0,0,0,0,0,,3,3,0,3,3,0,0,1,1,220,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,2,,,0,,,,,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,1,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Slovakia","SK",2023,105,62,21,9,5,4,15,3,188,206,33,221,105,21,0,12,1,220,19,9,9,,,6,2,,4,9,22,19,12,74,0,17,17,10,,,9,0,,4,7,6,4,21,51,0,81,62,,65,0,9,213,212,4,4,0,0,4,4,0,,0,,1,4,1,4,0,,1,83,21,5,3,,,83,21,10,4,5,3,5,3,8,4,0,0,0,0,0,0,0,0,4,0,0,1,76,0,,,,,,,,,,,,,,,0,,,,,,,,,1,10,7,2
"Slovenia","SI",2023,69,1,10,3,1,1,3,0,80,85,8,88,69,6,0,44,1,220,0,0,0,,,1,2,,9,4,8,16,15,55,0,0,0,1,,,1,0,,2,1,5,2,18,29,0,1,62,,56,0,7,88,79,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,69,5,0,0,,,69,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,2,,,,,,,,,,,,,,,0,,,,,,,,,1,583,583,1
"Solomon Islands","SB",2023,182,42,115,6,3,2,0,,339,350,11,350,182,6,0,0,1,221,8,,,6,,,,38,34,45,32,24,11,184,,3,,,11,,,,43,46,27,19,19,4,158,,28,60,188,,,,349,0,1,1,0,0,0,0,0,,0,,0,,1,1,1,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,
"Somalia","SO",2023,9122,4346,4971,93,26,13,33,,18439,18571,165,18604,9122,126,0,1,,221,787,,,996,,,,2162,1998,1552,1248,995,934,8889,1,700,,,1004,,,,1413,1360,1143,987,759,532,6194,0,3487,60,7921,,,,18242,18242,329,315,4,38,1,1,0,,0,,0,,1,107,1,212,319,7795,126,254,75,93,21,259,66,225,60,252,66,219,60,292,1,0,0,0,0,1,0,,0,0,0,0,0,16609,98,73,,,,,83,,,,,380,528,,,0,,,,,,,,,0,,,
"South Africa","ZA",2023,111457,55698,27626,9961,4137,2931,10231,,194781,211810,27260,222041,107994,15004,3463,,1,220,4554,1420,1485,,,4450,7665,,27941,35334,22452,13148,7252,118242,0,4081,1477,1782,,,5022,7577,,21609,19956,11750,7223,5632,78769,0,14799,60,176386,,,,214493,214493,6799,6799,179,286,745,576,0,,0,,1,868,1,1262,1,4009,4009,104370,13784,4233,2937,9084,1616,2401,1936,1509,1143,2401,1936,1509,1143,6297,730,5,3,0,136,399,6,3,7,171,3681,295,1,177988,95793,86390,1,11025,2177,1912,,31036,426540,,,261684,426540,226722,466297,0,,,,,,,,,1,,,
"South Sudan","SS",2023,12075,7467,3525,561,220,70,1047,,23067,23918,1898,24965,12034,1047,41,0,1,221,969,,,1124,,,,2689,4320,2985,1718,1095,872,13679,21,813,,,1130,,,,1238,1461,1250,1007,670,536,6162,20,4036,60,6772,,,,24751,24751,214,207,0,2,0,0,0,,0,,0,,0,,1,207,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22320,2457,2329,,,,,4138,,,,,10280,15722,,,0,,,,,,,,,0,,,
"Spain","ES",2023,2464,419,1108,0,0,0,217,22,3991,3991,217,4208,2187,159,277,1825,1,220,52,31,44,,,88,188,,398,414,466,375,563,2492,0,44,17,39,,,63,88,,226,229,203,149,314,1272,0,227,62,,1689,0,463,4150,3779,58,56,0,0,0,0,,,,,,,,,,,,1526,112,39,9,,,1477,110,89,13,38,7,29,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3050,242,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka","LK",2023,4833,1626,2366,324,67,55,267,,8825,9271,713,9538,4832,527,1,20,1,221,33,,,62,,,,381,565,893,1171,1426,1442,5878,,26,,,94,,,,454,408,425,537,630,720,3174,,215,60,2518,,,,9510,9510,28,27,0,0,1,1,0,,0,,1,,1,14,1,13,0,2717,293,2,26,,,727,26,1,8,2,26,1,8,27,1,,,,,,,,,,,,0,8948,43,38,,,,,97,46,702,,,,,,,0,,,,,,,,,0,,,
"Sudan","SD",2023,4972,4015,3890,323,89,49,287,,12877,13338,748,13625,4953,496,19,,0,221,254,,,392,,,,1396,1918,1348,1010,719,792,7183,,183,,,308,,,,768,946,765,677,459,367,3982,,1137,60,1951,,,,13536,13536,89,89,0,2,5,5,0,,0,,0,,1,5,1,84,,1644,307,29,28,,,,,,,,,,,,,,,,,,,,,,,,1,4117,114,103,,,,,103,,,,,,,,,0,,,,,,,,,0,,,
"Suriname","SR",2023,85,13,15,7,0,0,5,,113,120,12,125,85,10,0,6,1,220,2,1,1,,,4,3,,11,12,15,23,8,76,0,1,0,0,,,2,4,,9,6,5,11,2,39,0,5,60,118,,,,111,107,14,1,0,0,0,0,0,,0,,0,,0,,1,1,0,82,10,12,2,,,82,10,1,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,13,12,1,0,0,0,,,,,,,,,,0,,,,,,,,,0,,,
"Sweden","SE",2023,201,14,117,3,2,4,14,1,332,341,23,355,201,13,0,303,1,220,1,1,1,,,14,20,,34,39,34,14,34,189,0,3,2,1,,,4,7,,39,20,33,12,28,143,0,9,62,,204,0,96,347,343,7,7,0,0,1,1,0,,3,,0,,0,,1,7,7,192,6,7,0,,,192,6,19,0,7,0,6,0,7,1,0,0,0,0,1,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Switzerland","CH",2023,360,37,16,,,,21,3,413,413,21,434,298,19,62,326,1,220,1,2,3,,,41,20,,58,45,25,27,43,259,0,6,4,1,,,6,10,,28,29,20,20,23,136,1,17,60,373,,,,424,368,8,8,0,0,2,2,3,,3,,3,,1,2,3,,,248,9,8,1,,,245,9,16,2,7,1,5,1,6,2,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Syrian Arab Republic","SY",2023,1468,522,1311,40,18,45,40,,3301,3404,143,3444,1468,61,0,9,1,221,36,,,97,,,,417,569,379,258,211,169,2003,0,17,,,116,,,,344,231,169,165,134,92,1135,0,266,62,,390,7,8,3381,3381,20,20,0,1,5,5,0,,0,,1,23,0,,0,,23,1468,61,23,0,,,407,24,41,10,23,0,10,0,23,3,3,0,0,0,0,0,0,0,0,0,0,1,1612,0,0,,,,,,,,,,,,,,0,,,,,,,,,1,2,2,2
"Tajikistan","TJ",2023,1824,1161,1055,244,76,75,105,13,4040,4435,500,4540,1824,323,0,18,1,221,39,,,106,,,,566,523,377,312,295,238,2311,0,35,,,93,,,,336,423,251,211,277,353,1851,0,273,60,3901,,,,4151,4047,389,276,95,4,121,101,0,,0,,1,43,1,329,1,100,35,1823,323,360,115,244,115,1682,289,503,137,342,101,335,100,392,115,5,0,0,12,96,2,0,0,0,241,17,1,4412,133,133,,,,,,45,1116,,,939,1116,921,1032,0,,,,,,,,,1,,,99
"Thailand","TH",2023,45796,17893,10452,4083,1441,544,1616,,74141,80209,7684,81825,45265,5141,531,4060,1,220,167,70,91,,,736,1852,,6398,8121,11300,11513,14405,54325,0,98,60,166,,,740,1404,,3426,3253,4067,4605,7737,25232,0,652,60,53458,,,,80755,80755,1011,955,0,5,59,58,0,,0,,1,94,1,263,1,656,1013,41819,2840,808,203,,,22156,1392,2621,255,603,173,479,140,468,32,0,0,0,0,22,0,0,0,10,22,0,1,69370,5474,5055,1,292,16,14,5055,,,944,440708,640,25533,1336,1649,0,,,,,,,,,0,,,
"Timor-Leste","TL",2023,2723,2609,516,109,70,0,144,,5848,6027,323,6171,2723,109,0,0,1,221,63,,,75,,,,415,517,412,523,596,769,3232,0,53,,,89,,,,417,440,333,399,416,510,2515,0,280,60,2729,,,,6027,6027,26,26,0,0,0,0,1,26,0,,1,0,1,,1,26,26,26,0,26,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5268,48,48,,,,,39,,,,,73,243,,,0,,,,,,,,,0,,,
